year,rating,num_votes,title,recent_film,awarded
1916,7.0,20,The Quest of Life,0,0
1916,6.7,25,If My Country Should Call,0,0
1916,6.0,83,Diane of the Follies,0,0
1916,6.1,1915,"20,000 Leagues Under the Sea",0,1
1916,8.0,18,Seventeen,0,0
1916,5.8,77,The Habit of Happiness,0,0
1916,5.7,54,Less Than the Dust,0,0
1916,4.7,45,The Right to Be Happy,0,0
1916,6.1,93,The Americano,0,0
1916,6.4,621,Joan the Woman,0,0
1916,6.3,421,Snow White,0,0
1916,5.3,35,The Purple Mask,0,0
1916,5.2,38,The Innocence of Lizette,0,0
1916,4.2,43,Professor Bonehead Is Shipwrecked,0,0
1916,5.1,24,Redeeming Love,0,0
1916,3.4,54,Snow White,0,0
1916,5.6,29,The Fatal Glass of Beer,0,0
1916,6.8,46,The House Built Upon Sand,0,0
1916,4.6,18,Marriage a la Carte,0,0
1916,6.5,33,The Kiss of a Vampire,0,0
1916,6.4,16,Swat the Fly,0,0
1916,4.6,38,The Flying Torpedo,0,0
1916,5.5,95,King Lear,0,0
1916,6.4,632,The Matrimaniac,0,0
1916,5.4,17,The Victoria Cross,0,0
1916,7.2,34,Oliver Twist,0,0
1916,6.4,35,The Place Beyond the Winds,0,0
1916,5.5,17,The Prince of Graustark,0,0
1916,5.9,41,The Heart of a Hero,0,0
1916,5.6,30,A Son of Erin,0,0
1916,7.2,13,The Devil at His Elbow,0,0
1916,6.6,28,War Brides,0,0
1916,8.1,90,The Cossack Whip,0,0
1916,6.1,117,American Aristocracy,0,0
1916,6.1,59,The World and the Woman,0,0
1916,2.5,25,Robinson Crusoe,0,0
1916,6.4,22,Arms and the Woman,0,0
1916,6.2,15,The Devil's Double,0,0
1916,6.2,22,An Enemy to the King,0,0
1916,6.2,26,The Crisis,0,0
1916,6.9,51,The Children Pay,0,0
1916,6.3,21,The Valley of Decision,0,0
1916,4.4,20,The Microscope Mystery,0,0
1916,6.4,24,Under Two Flags,0,0
1916,6.7,209,The Half-Breed,0,0
1916,6.1,44,The Three Musketeers,0,0
1916,6.2,15,New York,0,0
1916,6.4,17,A Night Out,0,0
1916,6.4,251,The Dumb Girl of Portici,0,0
1916,6.3,38,The Innocence of Ruth,0,0
1916,6.2,135,The Call of the Cumberlands,0,0
1916,7.9,43,Nearly a King,0,0
1916,6.6,22,Life's Whirlpool,0,0
1916,6.2,20,Let Katie Do It,0,0
1916,7.2,18,The Misleading Lady,0,0
1916,4.7,27,Peggy,0,0
1916,8.0,19,The Pool of Flame,0,0
1916,7.6,25,The Lost Bridegroom,0,0
1916,5.9,919,Hoodoo Ann,0,0
1916,1.8,21,The Struggle,0,0
1916,4.2,25,The Social Pirates,0,0
1916,7.7,16,Madame la Presidente,0,0
1916,5.9,177,His Picture in the Papers,0,0
1916,7.7,15,Powder,0,0
1916,6.6,34,The Trail of the Lonesome Pine,0,0
1916,5.4,33,The Captive God,0,0
1916,5.8,23,Ben Blair,0,0
1916,2.3,21,The Hunted Woman,0,0
1916,5.3,84,Daphne and the Pirate,0,0
1916,6.4,25,To Have and to Hold,0,0
1916,6.7,1034,Hell's Hinges,0,1
1916,6.2,53,Little Mary Sunshine,0,0
1916,6.6,19,Autumn,0,0
1916,6.0,84,Poor Little Peppina,0,0
1916,4.0,26,Her Bleeding Heart,0,0
1916,6.2,40,The Iron Claw,0,0
1916,5.0,55,Betty of Greystone,0,0
1916,7.4,30,The Blacklist,0,0
1916,6.8,21,The Adventures of Kathlyn,0,0
1916,6.3,15,The Dead Alive,0,0
1916,6.2,33,Humanity,0,0
1916,6.0,21,One Day,0,0
1916,6.9,32,The Net,0,0
1916,5.6,23,The Foundling,0,0
1916,6.0,21,Hulda from Holland,0,0
1916,5.4,609,Reggie Mixes In,0,0
1916,5.4,17,Into the Primitive,0,0
1916,6.5,34,Macbeth,0,0
1916,5.9,655,Going Straight,0,0
1916,5.1,106,The Fall of a Nation,0,0
1916,6.4,55,An Innocent Magdalene,0,0
1916,8.0,20,Ramona,0,0
1916,5.6,40,East Lynne,0,0
1916,7.1,31,La vie de Bohème,0,0
1916,6.4,205,Flirting with Fate,0,0
1916,6.9,691,Shoes,0,1
1916,5.7,43,The Lottery Man,0,0
1916,7.5,22,The American Beauty,0,0
1916,5.0,17,The Deserter,0,0
1916,5.7,20,Davy Crockett,0,0
1916,6.6,24,The Dream Girl,0,0
1916,7.8,22,Purity,0,0
1916,5.6,22,The Secret of the Submarine,0,0
1916,6.8,17,The Suspect,0,0
1916,7.1,50,The Three Godfathers,0,0
1916,6.3,36,Gloria's Romance,0,0
1916,6.2,55,The Aryan,0,0
1916,6.6,260,The Good Bad-Man,0,0
1916,6.3,841,Where Are My Children?,0,1
1916,4.6,33,Sunshine Dad,0,0
1916,6.2,116,Sold for Marriage,0,0
1916,6.0,20,The Heart of Nora Flynn,0,0
1916,6.5,33,The Mysteries of Myra,0,0
1916,7.2,20,The Eternal Grind,0,0
1916,4.9,17,The Snowbird,0,0
1916,4.5,44,The Adventures of Peg o' the Ring,0,0
1916,6.6,26,Maria Rosa,0,0
1916,6.0,17,The Eternal Sappho,0,0
1916,5.0,29,Alien Souls,0,0
1916,6.2,450,Sherlock Holmes,0,0
1916,7.0,21,A Child of the Paris Streets,0,0
1916,5.3,596,The Children in the House,0,0
1917,5.3,26,Sirens of the Sea,0,0
1917,7.2,21,The Apple-Tree Girl,0,0
1917,6.3,874,Rebecca of Sunnybrook Farm,0,0
1917,4.6,13,Men of the Desert,0,0
1917,1.1,23,One Hour,0,0
1917,6.4,19,Camille,0,0
1917,6.4,54,The Man from Painted Post,0,0
1917,4.8,54,The Secret Man,0,0
1917,4.0,15,The Lady in the Library,0,0
1917,5.8,24,A Man's Man,0,0
1917,5.3,124,Aladdin and the Wonderful Lamp,0,0
